dia_test,hora_dia,fecha,demanda_real,demanda_predicha,error_absoluto,error_relativo_pct
1,0,2014-02-15,3.91,4.51,0.6,15.43
1,1,2014-02-15,4.48,4.86,0.38,8.46
1,2,2014-02-15,5.13,5.34,0.2,3.96
1,3,2014-02-15,5.31,5.66,0.35,6.68
1,4,2014-02-15,5.52,5.9,0.38,6.87
1,5,2014-02-15,5.67,6.05,0.37,6.58
1,6,2014-02-15,5.74,6.12,0.38,6.6
1,7,2014-02-15,5.79,6.15,0.36,6.28
1,8,2014-02-15,5.83,6.18,0.35,6.04
1,9,2014-02-15,5.89,6.21,0.31,5.34
1,10,2014-02-15,5.89,6.16,0.26,4.47
1,11,2014-02-15,5.92,6.11,0.19,3.14
1,12,2014-02-15,5.82,6.03,0.21,3.61
1,13,2014-02-15,5.56,5.83,0.28,4.97
1,14,2014-02-15,5.3,5.6,0.3,5.61
1,15,2014-02-15,5.23,5.5,0.27,5.14
1,16,2014-02-15,5.07,5.35,0.28,5.46
1,17,2014-02-15,4.66,4.97,0.31,6.64
1,18,2014-02-15,4.4,4.63,0.23,5.23
1,19,2014-02-15,4.6,4.64,0.04,0.9
1,20,2014-02-15,4.06,4.38,0.31,7.69
1,21,2014-02-15,3.75,4.07,0.32,8.55
1,22,2014-02-15,3.56,3.83,0.27,7.66
1,23,2014-02-15,3.48,3.73,0.26,7.36
2,0,2014-02-16,4.48,4.84,0.36,8.12
2,1,2014-02-16,5.13,5.37,0.24,4.59
2,2,2014-02-16,5.31,5.56,0.25,4.79
2,3,2014-02-16,5.52,5.74,0.22,4.0
2,4,2014-02-16,5.67,5.92,0.25,4.35
2,5,2014-02-16,5.74,6.05,0.31,5.4
2,6,2014-02-16,5.79,6.12,0.33,5.72
2,7,2014-02-16,5.83,6.16,0.33,5.68
2,8,2014-02-16,5.89,6.19,0.3,5.01
2,9,2014-02-16,5.89,6.14,0.24,4.16
2,10,2014-02-16,5.92,6.09,0.17,2.87
2,11,2014-02-16,5.82,6.01,0.2,3.38
2,12,2014-02-16,5.56,5.82,0.26,4.76
2,13,2014-02-16,5.3,5.59,0.29,5.42
2,14,2014-02-16,5.23,5.49,0.26,4.97
2,15,2014-02-16,5.07,5.34,0.27,5.31
2,16,2014-02-16,4.66,4.96,0.3,6.51
2,17,2014-02-16,4.4,4.62,0.22,5.11
2,18,2014-02-16,4.6,4.64,0.04,0.81
2,19,2014-02-16,4.06,4.37,0.31,7.6
2,20,2014-02-16,3.75,4.07,0.32,8.47
2,21,2014-02-16,3.56,3.83,0.27,7.59
2,22,2014-02-16,3.48,3.73,0.25,7.29
2,23,2014-02-16,3.55,3.81,0.26,7.33
3,0,2014-02-17,5.13,5.22,0.09,1.73
3,1,2014-02-17,5.31,5.55,0.24,4.6
3,2,2014-02-17,5.52,5.64,0.12,2.23
3,3,2014-02-17,5.67,5.77,0.1,1.7
3,4,2014-02-17,5.74,5.92,0.19,3.26
3,5,2014-02-17,5.79,6.05,0.26,4.5
3,6,2014-02-17,5.83,6.12,0.29,5.04
3,7,2014-02-17,5.89,6.16,0.27,4.55
3,8,2014-02-17,5.89,6.11,0.22,3.73
3,9,2014-02-17,5.92,6.07,0.15,2.46
3,10,2014-02-17,5.82,5.99,0.17,3.01
3,11,2014-02-17,5.56,5.8,0.25,4.42
3,12,2014-02-17,5.3,5.57,0.27,5.1
3,13,2014-02-17,5.23,5.48,0.25,4.68
3,14,2014-02-17,5.07,5.33,0.26,5.05
3,15,2014-02-17,4.66,4.95,0.29,6.26
3,16,2014-02-17,4.4,4.61,0.22,4.9
3,17,2014-02-17,4.6,4.63,0.03,0.63
3,18,2014-02-17,4.06,4.37,0.3,7.43
3,19,2014-02-17,3.75,4.06,0.31,8.31
3,20,2014-02-17,3.56,3.82,0.26,7.44
3,21,2014-02-17,3.48,3.72,0.25,7.16
3,22,2014-02-17,3.55,3.81,0.26,7.22
3,23,2014-02-17,3.78,4.22,0.43,11.44
4,0,2014-02-18,5.31,5.32,0.01,0.26
4,1,2014-02-18,5.52,5.68,0.16,2.89
4,2,2014-02-18,5.67,5.74,0.06,1.12
